Country name,Ladder score,upperwhisker,lowerwhisker,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
Bootstrap Synthetic Country 1,4.505,4.673,4.337,1.078,0.705,0.4,0.343,0.133,0.198,1.649
Bootstrap Synthetic Country 2,4.341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071,0.765
Bootstrap Synthetic Country 3,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199,1.11
Bootstrap Synthetic Country 4,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,1.505
Bootstrap Synthetic Country 5,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167,0.919
Bootstrap Synthetic Country 6,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,1.529
Bootstrap Synthetic Country 7,5.841,5.946,5.736,1.371,1.18,0.662,0.615,0.078,0.029,1.907
Bootstrap Synthetic Country 8,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,1.551
Bootstrap Synthetic Country 9,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,1.637
Bootstrap Synthetic Country 10,6.523,6.605,6.44,2.118,1.361,0.769,0.743,0.168,0.575,0.788
Bootstrap Synthetic Country 11,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2.21
Bootstrap Synthetic Country 12,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,1.529
Bootstrap Synthetic Country 13,4.232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09,1.734
Bootstrap Synthetic Country 14,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873
Bootstrap Synthetic Country 15,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,1.858
Bootstrap Synthetic Country 16,4.874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06,2.08
Bootstrap Synthetic Country 17,5.221,5.396,5.047,0.892,0.622,0.306,0.523,0.124,0.138,2.617
Bootstrap Synthetic Country 18,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2.21
Bootstrap Synthetic Country 19,5.959,6.153,5.766,,,,,,,
Bootstrap Synthetic Country 20,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061,2.02
Bootstrap Synthetic Country 21,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,0.526
Bootstrap Synthetic Country 22,6.257,6.332,6.182,1.706,1.54,0.638,0.566,0.096,0.058,1.653
Bootstrap Synthetic Country 23,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,1.83
Bootstrap Synthetic Country 24,3.295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072,1.102
Bootstrap Synthetic Country 25,5.455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173,1.379
Bootstrap Synthetic Country 26,5.281,5.361,5.201,,,,,,,
Bootstrap Synthetic Country 27,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,1.428
Bootstrap Synthetic Country 28,4.471,4.63,4.313,0.603,0.805,0.199,0.411,0.218,0.113,2.122
Bootstrap Synthetic Country 29,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199,1.11
Bootstrap Synthetic Country 30,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,1.83
Bootstrap Synthetic Country 31,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061,2.02
Bootstrap Synthetic Country 32,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745
Bootstrap Synthetic Country 33,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,1.203
Bootstrap Synthetic Country 34,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,1.747
Bootstrap Synthetic Country 35,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,1.316
Bootstrap Synthetic Country 36,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586
Bootstrap Synthetic Country 37,6.36,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,1.858
Bootstrap Synthetic Country 38,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,1.512
Bootstrap Synthetic Country 39,3.898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,0.014
Bootstrap Synthetic Country 40,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,1.83
Bootstrap Synthetic Country 41,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,1.068
Bootstrap Synthetic Country 42,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749
Bootstrap Synthetic Country 43,5.023,5.166,4.881,0.831,0.622,0.236,0.521,0.21,0.107,2.497
Bootstrap Synthetic Country 44,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,1.741
Bootstrap Synthetic Country 45,5.216,5.406,5.027,0.56,0.883,0.156,0.728,0.158,0.196,2.536
Bootstrap Synthetic Country 46,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318
Bootstrap Synthetic Country 47,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,1.261
Bootstrap Synthetic Country 48,5.959,6.153,5.766,,,,,,,
Bootstrap Synthetic Country 49,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,0.928
Bootstrap Synthetic Country 50,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,0.717
Bootstrap Synthetic Country 51,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,1.488
Bootstrap Synthetic Country 52,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,1.451
Bootstrap Synthetic Country 53,5.866,5.987,5.746,1.526,1.1,0.55,0.592,0.111,0.204,1.785
Bootstrap Synthetic Country 54,4.548,4.686,4.41,0.756,0.685,0.274,0.483,0.173,0.179,1.999
Bootstrap Synthetic Country 55,6.324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074,1.777
Bootstrap Synthetic Country 56,3.341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,0.797
Bootstrap Synthetic Country 57,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,1.64
Bootstrap Synthetic Country 58,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,1.747
Bootstrap Synthetic Country 59,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,1.812
Bootstrap Synthetic Country 60,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318
Bootstrap Synthetic Country 61,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,1.512
Bootstrap Synthetic Country 62,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749
Bootstrap Synthetic Country 63,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766
Bootstrap Synthetic Country 64,5.08,5.224,4.936,1.08,0.578,0.288,0.547,0.12,0.164,2.303
Bootstrap Synthetic Country 65,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298
Bootstrap Synthetic Country 66,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073
Bootstrap Synthetic Country 67,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,1.551
Bootstrap Synthetic Country 68,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.05
Bootstrap Synthetic Country 69,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,1.858
Bootstrap Synthetic Country 70,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318
Bootstrap Synthetic Country 71,4.471,4.63,4.313,0.603,0.805,0.199,0.411,0.218,0.113,2.122
Bootstrap Synthetic Country 72,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,1.686
Bootstrap Synthetic Country 73,6.287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078,2.473
Bootstrap Synthetic Country 74,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,1.907
Bootstrap Synthetic Country 75,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,1.747
Bootstrap Synthetic Country 76,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,0.349
Bootstrap Synthetic Country 77,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,1.261
Bootstrap Synthetic Country 78,4.923,5.024,4.822,1.435,1.136,0.571,0.366,0.235,0.123,1.057
Bootstrap Synthetic Country 79,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318
Bootstrap Synthetic Country 80,6.043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.16,1.81
Bootstrap Synthetic Country 81,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,1.54
Bootstrap Synthetic Country 82,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,1.846
Bootstrap Synthetic Country 83,5.463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006,1.088
Bootstrap Synthetic Country 84,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906
Bootstrap Synthetic Country 85,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2.167
Bootstrap Synthetic Country 86,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586
Bootstrap Synthetic Country 87,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,1.267
Bootstrap Synthetic Country 88,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59
Bootstrap Synthetic Country 89,3.295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072,1.102
Bootstrap Synthetic Country 90,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,1.64
Bootstrap Synthetic Country 91,6.411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,1.932
Bootstrap Synthetic Country 92,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,1.791
Bootstrap Synthetic Country 93,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,0.717
Bootstrap Synthetic Country 94,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59
Bootstrap Synthetic Country 95,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298
Bootstrap Synthetic Country 96,4.969,5.096,4.841,0.927,0.751,0.392,0.607,0.152,0.069,2.071
Bootstrap Synthetic Country 97,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318
Bootstrap Synthetic Country 98,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,1.267
Bootstrap Synthetic Country 99,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,0.349
Bootstrap Synthetic Country 100,5.968,6.114,5.822,1.091,1.035,0.502,0.72,0.175,0.081,2.364
Bootstrap Synthetic Country 101,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766
Bootstrap Synthetic Country 102,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59
Bootstrap Synthetic Country 103,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073
Bootstrap Synthetic Country 104,3.186,3.469,2.904,0.771,0.851,0.0,0.523,0.082,0.085,0.875
Bootstrap Synthetic Country 105,5.942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043,1.574
Bootstrap Synthetic Country 106,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,1.881
Bootstrap Synthetic Country 107,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,1.451
Bootstrap Synthetic Country 108,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,1.608
Bootstrap Synthetic Country 109,3.561,3.714,3.408,0.671,1.281,0.293,0.362,0.08,0.113,0.76
Bootstrap Synthetic Country 110,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,1.551
Bootstrap Synthetic Country 111,4.289,4.396,4.182,1.077,0.747,0.36,0.623,0.183,0.028,1.273
Bootstrap Synthetic Country 112,5.166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048,1.809
Bootstrap Synthetic Country 113,4.214,4.33,4.098,0.758,0.586,0.32,0.453,0.127,0.156,1.814
Bootstrap Synthetic Country 114,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,1.428
Bootstrap Synthetic Country 115,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745
Bootstrap Synthetic Country 116,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884
Bootstrap Synthetic Country 117,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567
Bootstrap Synthetic Country 118,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,1.316
Bootstrap Synthetic Country 119,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,1.513
Bootstrap Synthetic Country 120,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,1.267
Bootstrap Synthetic Country 121,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2,1.743
Bootstrap Synthetic Country 122,1.721,1.775,1.667,0.628,0.0,0.242,0.0,0.091,0.088,0.672
Bootstrap Synthetic Country 123,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884
Bootstrap Synthetic Country 124,5.316,5.403,5.229,1.909,1.184,0.857,0.485,0.147,0.402,0.333
Bootstrap Synthetic Country 125,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,1.672
Bootstrap Synthetic Country 126,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,0.526
Bootstrap Synthetic Country 127,4.505,4.673,4.337,1.078,0.705,0.4,0.343,0.133,0.198,1.649
Bootstrap Synthetic Country 128,5.607,5.725,5.489,0.0,1.321,0.491,0.518,0.192,0.086,2.998
Bootstrap Synthetic Country 129,3.561,3.714,3.408,0.671,1.281,0.293,0.362,0.08,0.113,0.76
Bootstrap Synthetic Country 130,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,1.741
Bootstrap Synthetic Country 131,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873
Bootstrap Synthetic Country 132,4.832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061,1.446
Bootstrap Synthetic Country 133,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683
Bootstrap Synthetic Country 134,3.566,3.754,3.378,0.896,0.328,0.37,0.172,0.128,0.16,1.512
Bootstrap Synthetic Country 135,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,1.747
Bootstrap Synthetic Country 136,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199,1.11
Bootstrap Synthetic Country 137,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2.203
Bootstrap Synthetic Country 138,6.03,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035,1.397
Bootstrap Synthetic Country 139,4.879,5.006,4.753,,,,,,,
Bootstrap Synthetic Country 140,6.358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043,1.806
Bootstrap Synthetic Country 141,5.369,5.468,5.27,1.475,1.277,0.569,0.58,0.194,0.015,1.26
Bootstrap Synthetic Country 142,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,1.672
Bootstrap Synthetic Country 143,3.566,3.754,3.378,0.896,0.328,0.37,0.172,0.128,0.16,1.512
